date,oil_price
2019-06-10,47.1811
2019-06-09,48.2002
2019-06-08,47.6692
2019-06-07,47.6692
2019-06-06,46.9852
2019-06-05,45.8598
2019-06-04,47.0911
2019-06-03,47.2458
2019-06-02,46.8877
2019-06-01,47.6755
2019-05-31,47.6755
2019-05-30,50.8245
2019-05-29,53.1773
2019-05-28,52.8075
2019-05-27,52.8054
2019-05-26,52.491
2019-05-25,52.6524
2019-05-24,52.6571
2019-05-23,51.9623
2019-05-22,55.0323
2019-05-21,56.3974
2019-05-20,56.7726
2019-05-19,56.9097
2019-05-18,56.3489
2019-05-17,56.3489
2019-05-16,56.6604
2019-05-15,55.5317
2019-05-14,54.6846
2019-05-13,54.2909
2019-05-12,54.619
2019-05-11,54.9524
2019-05-10,54.9524
2019-05-09,54.984
2019-05-08,55.3652
2019-05-07,55.0411
2019-05-06,55.4772
2019-05-05,54.2472
2019-05-04,55.1889
2019-05-03,55.1889
2019-05-02,55.2001
2019-05-01,56.6888
2019-04-30,56.6009
2019-04-29,56.8256
2019-04-28,56.4159
2019-04-27,56.3215
2019-04-26,56.3255
2019-04-25,58.3894
2019-04-24,58.9138
2019-04-23,58.92
2019-04-22,58.4352
2019-04-21,57.2077
2019-04-20,56.9605
2019-04-19,56.9605
2019-04-18,57.0064
2019-04-17,56.4858
2019-04-16,57.1476
2019-04-15,56.1952
2019-04-14,56.2422
2019-04-13,56.3963
2019-04-12,56.3963
2019-04-11,56.5434
2019-04-10,57.0828
2019-04-09,56.9632
2019-04-08,57.2183
2019-04-07,56.5267
2019-04-06,56.384
2019-04-05,56.384
2019-04-04,55.3118
2019-04-03,55.5888
2019-04-02,55.8022
2019-04-01,55.0606
2019-03-31,53.7844
2019-03-30,53.6486
2019-03-29,53.6485
2019-03-28,53.0019
2019-03-27,52.7458
2019-03-26,53.0941
2019-03-25,52.2888
2019-03-24,52.0641
2019-03-23,52.1513
2019-03-22,52.1515
2019-03-21,52.6828
2019-03-20,52.5985
2019-03-19,52.1558
2019-03-18,52.3619
2019-03-17,51.9025
2019-03-16,51.7778
2019-03-15,51.7778
2019-03-14,51.7631
2019-03-13,51.4675
2019-03-12,50.6592
2019-03-11,50.5994
2019-03-10,49.9924
2019-03-09,49.877
2019-03-08,49.877
2019-03-07,50.4144
2019-03-06,49.6168
2019-03-05,49.664
2019-03-04,49.7766
2019-03-03,49.2461
2019-03-02,49.0651
2019-03-01,49.0698
2019-02-28,50.3007
2019-02-27,50.077
2019-02-26,49.175
2019-02-25,48.8111
2019-02-24,50.5669
2019-02-23,50.3463
2019-02-22,50.3461
2019-02-21,50.16
2019-02-20,50.4183
2019-02-19,49.6365
2019-02-18,49.7458
2019-02-17,49.8378
2019-02-16,49.7542
2019-02-15,49.7541
2019-02-14,48.6628
2019-02-13,47.9304
2019-02-12,47.1892
2019-02-11,46.4845
2019-02-10,46.3593
2019-02-09,46.5281
2019-02-08,46.5283
2019-02-07,46.2802
2019-02-06,47.4705
2019-02-05,47.1396
2019-02-04,47.8612
2019-02-03,48.204
2019-02-02,48.3264
2019-02-01,48.3264
2019-01-31,47.0864
2019-01-30,47.4278
2019-01-29,46.6234
2019-01-28,45.5523
2019-01-27,46.686
2019-01-26,46.9557
2019-01-25,46.9721
2019-01-24,46.9273
2019-01-23,46.0746
2019-01-22,46.5424
2019-01-21,47.7047
2019-01-20,47.2041
2019-01-19,47.4818
2019-01-18,47.4818
2019-01-17,46.0635
2019-01-16,46.0795
2019-01-15,45.4703
2019-01-14,44.1756
2019-01-13,45.2206
2019-01-12,45.0715
2019-01-11,45.0832
2019-01-10,45.4396
2019-01-09,45.1602
2019-01-08,43.6418
2019-01-07,42.4543
2019-01-06,42.5996
2019-01-05,42.3984
2019-01-04,42.3981
2019-01-03,41.15
2019-01-02,40.4353
2019-01-01,40.031
2018-12-31,39.8686
2018-12-30,39.7787
2018-12-29,39.4544
2018-12-28,39.4544
2018-12-27,39.7274
2018-12-26,41.0168
2018-12-25,37.7876
2018-12-24,37.4752
2018-12-23,40.083
2018-12-22,39.9292
2018-12-21,39.9322
2018-12-20,40.4793
2018-12-19,41.6032
2018-12-18,41.0182
2018-12-17,43.7402
2018-12-16,45.6183
2018-12-15,45.5276
2018-12-14,45.5276
2018-12-13,46.5048
2018-12-12,45.1529
2018-12-11,45.9571
2018-12-10,44.8658
2018-12-09,45.9647
2018-12-08,45.8168
2018-12-07,45.8168
2018-12-06,45.2597
2018-12-05,46.4099
2018-12-04,46.5411
2018-12-03,46.889
2018-12-02,46.1488
2018-12-01,44.7753
2018-11-30,44.7852
2018-11-29,45.1383
2018-11-28,44.5039
2018-11-27,46.0767
2018-11-26,45.5378
2018-11-25,44.6338
2018-11-24,44.4552
2018-11-23,44.4556
2018-11-22,47.3972
2018-11-21,47.989
2018-11-20,47.0521
2018-11-19,50.1025
2018-11-18,50.2073
2018-11-17,49.9732
2018-11-16,49.9626
2018-11-15,50.0641
2018-11-14,49.5981
2018-11-13,49.2359
2018-11-12,52.5099
2018-11-11,53.6757
2018-11-10,52.7892
2018-11-09,52.785
2018-11-08,53.4155
2018-11-07,53.9373
2018-11-06,54.0513
2018-11-05,55.0816
2018-11-04,55.2486
2018-11-03,55.2124
