,lin_reg_test_rmse,lin_reg_train_r2,lin_reg_test_r2,e_net_test_rmse,e_net_train_r2,e_net_test_r2,knn_test_rmse,knn_train_r2,knn_test_r2,rf_test_rmse,rf_train_r2,rf_test_r2,ada_test_rmse,ada_train_r2,ada_test_r2,svr_test_rmse,svr_train_r2,svr_test_r2
0,5.748024639196621,0.8374698297654715,0.7144369446665874,5.772251464345663,0.8369418318294868,0.7120246843605671,7.165323488202895,0.7613842302962536,0.5562520274987441,6.482273834171009,0.9691784643657227,0.636822007060164,6.264046603317823,0.8273329220798882,0.6608633404979815,5.832793269858359,0.8219798728101939,0.7059521921657703
1,6.103115533713964,0.8259181986120588,0.7176225810811623,6.119450737514589,0.8252275997480291,0.7161089719487503,7.893096882237805,0.748583562324973,0.527695972994819,7.3694536120375025,0.9683200939238791,0.588284364311561,6.897931509985239,0.8333659904330154,0.6392847218234909,6.168888095627761,0.8064925349883154,0.7115034886278047
2,5.95235994410763,0.8170947376541764,0.7431657790959751,5.970467774759691,0.8163584996703932,0.7416007579460547,8.10428567887192,0.740707974886075,0.5238936196599524,7.6793084806519945,0.9670512626622496,0.5725171012760084,7.127890512702913,0.8265899218142878,0.6317043761688228,5.997367597835803,0.7976427876058535,0.7392670873816238
3,5.859703615513661,0.8076367773366989,0.7517020312153517,5.866675247864901,0.8070668141519572,0.7511108504913225,8.214508172565877,0.7352292803161944,0.5120391276612923,7.998255772965805,0.9656233693647746,0.537392740940628,7.612675436788729,0.8124190930277867,0.5809204243977552,5.926283054994847,0.7907565583627946,0.7460275266837731
4,5.693829431315945,0.8019972707419535,0.7628861676231949,5.66969063289487,0.8012173545283042,0.7648923781974535,8.167019130674948,0.7274985922017896,0.5121625579806806,8.184219090773462,0.9629089820089898,0.510105596925269,7.552818625643071,0.8068072650097464,0.5827790618836626,5.62337231201597,0.7814121129615534,0.7687180925467194
5,5.402745763688112,0.8156137871489468,0.7988427351508154,5.3688205428241895,0.8148110505063662,0.8013610394204758,8.487968302018546,0.7249285920557672,0.5035058257206073,8.491909021281732,0.9614851115377442,0.5030447028062502,7.704703781247433,0.7892660347264058,0.5909102939526529,5.424443466994482,0.7968234892333631,0.7972237750249725
6,5.498002536490476,0.8293847637867795,0.7906872166211033,5.473677183327048,0.8286670134458138,0.7925352855130474,8.402197052063794,0.7306965657615938,0.5111545173392632,8.278030812836707,0.9612086252085831,0.525495912008727,7.816496572329052,0.7753858493750991,0.5769320124231596,5.5998809254351025,0.8159186901134552,0.7828581838717611
7,5.588259804059671,0.8543185846233868,0.7669521864725767,5.559854591553026,0.8537504248837895,0.7693153366104241,7.719271776233122,0.745486455796416,0.5553231520855411,7.207032087756044,0.9630115391494453,0.6123812590119819,7.622906287429603,0.787560318954266,0.5663563244476078,5.514841920384292,0.84316844581184,0.7730354696798123
8,5.610624258760122,0.8602599910879988,0.7425750936519121,5.573178986965279,0.8598083051215494,0.7459997318651707,7.640288695798446,0.7599994127673143,0.5226381242382842,6.722967509440033,0.966451758211106,0.6303844636860563,7.1838672749570875,0.7998914217750449,0.5779685723407935,5.582590577958861,0.8477308177604312,0.7451411320840804
9,5.513665381206984,0.869825943579165,0.7288131699016422,5.463690987137583,0.8693717804829786,0.7337068219174235,6.932637110313395,0.7749527721164651,0.5712691662612158,5.911756086171309,0.9699363645050818,0.6882397093982944,6.421451015925791,0.8309238325538655,0.6321640846207559,5.483573429631902,0.858907518926932,0.7317652068822844
